author,year,journal,doi,location,type,cover,zone,map,map_note,mat,ph,sand,silt,clay,texture_note,tot_n,av_n,tot_p,av_p,som,soc,soc_note,n_fert_class,n_fert_amt,p_fert_amt,irrigated,duration,sample,depth,main,main_cat,inter,inter_cat,n_ctrl,n_trt,ler,yield_rr,yield_lnrr,yield_ler,enz,enz_ec,enz_type,avg_eea_ctrl,stddev_eea_ctrl,avg_eea_trt,stddev_avg_trt,stddev_note,avg_mbc_ctrl,stddev_mbc_ctrl,avg_mbc_trt,stddev_mbc_trt,lnrr_eea,var_lnrr_eea,lnrr_mbc,var_lnrr_mbc,assay_method,assay_soil
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,1.07,0.90,-0.11,1.07,Urease,3.5.1.5,Nitrogen,6.65,0.35,7.43,0.32,,,,,,0.11,0.00,    ,    ,Guan,Fresh
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,1.07,1.33,0.29,1.07,Urease,3.5.1.5,Nitrogen,6.92,0.79,7.43,0.32,,,,,,0.07,0.01,    ,    ,Guan,Fresh
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,1.07,0.90,-0.11,1.07,Invertase,3.2.1.26,Carbon,44.67,3.52,61.46,7.50,,,,,,0.32,0.01,    ,    ,Guan,Fresh
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,1.07,1.33,0.29,1.07,Invertase,3.2.1.26,Carbon,59.42,5.86,61.46,7.50,,,,,,0.03,0.01,    ,    ,Guan,Fresh
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,1.07,0.90,-0.11,1.07,Acid phosphatase,3.1.3.2,Phosphorous,312.01,18.75,369.09,10.23,,,,,,0.17,0.00,    ,    ,PNP,Fresh
Chen et al,2018,Applied Soil Ecology,10.1016/j.apsoil.2017.11.010,China,Pot,Covered,,,,29,6.2,20,43,36,,1.20,40.60,0.25,12.60,,9.70,,Medium,200,52,,2,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,1.07,1.33,0.29,1.07,Acid phosphatase,3.1.3.2,Phosphorous,335.63,11.93,368.11,11.93,,,,,,0.09,0.00,    ,    ,PNP,Fresh
Li et al,2018,Int. J. Mol. Sci.,10.3390/ijms19020622,China,Pot,Covered,,,,,5.5,20,43,36,,1.12,36.15,0.47,8.23,,9.70,,Low,12,150,,2,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,1.11,1.09,0.08,1.11,Urease,3.5.1.5,Nitrogen,5.82,0.37,7.66,0.65,,,,,,0.28,0.00,    ,    ,Guan,Fresh
Li et al,2018,Int. J. Mol. Sci.,10.3390/ijms19020622,China,Pot,Covered,,,,,5.5,20,43,36,,1.12,36.15,0.47,8.23,,9.70,,Low,12,150,,2,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,1.11,1.25,0.23,1.11,Urease,3.5.1.5,Nitrogen,7.66,0.21,8.62,0.21,,,,,,0.12,0.00,    ,    ,Guan,Fresh
Li et al,2018,Int. J. Mol. Sci.,10.3390/ijms19020622,China,Pot,Covered,,,,,5.5,20,43,36,,1.12,36.15,0.47,8.23,,9.70,,Low,12,150,,2,Rhizosphere,,Peanut,Legume,Maize,Grass,3,3,1.11,1.09,0.08,1.11,Invertase,3.2.1.26,Carbon,25.06,5.01,42.13,7.16,,,,,,0.52,0.02,    ,    ,Guan,Fresh
Li et al,2018,Int. J. Mol. Sci.,10.3390/ijms19020622,China,Pot,Covered,,,,,5.5,20,43,36,,1.12,36.15,0.47,8.23,,9.70,,Low,12,150,,2,Rhizosphere,,Maize,Grass,Peanut,Legume,3,3,1.11,1.25,0.23,1.11,Invertase,3.2.1.26,Carbon,63.75,8.35,46.95,4.53,,,,,,-0.31,0.01,    ,    ,Guan,Fresh
